title,content,tokens
Page 51,"They put them on the coffee table and took out the rest of their gear -- everything a person might need to make a plaster replica of the human weenus. We spent two or three hours talking with them. Neither of us volunteered to be 'immortalized.' The Plaster-Casters were written up in various publications at that time. Probably as a result of this, our ofﬁce received a portfolio from a guy who claimed to be doing something similar with female organs, casting them in silver. Very nice. The material used for the molds in each case was the same stuff the dentist puts in your mouth for taking impressions of your teeth. It's a powder called alginate, which, when mixed with water, gets rubbery, and eventually hardens so that plaster can be poured into it. The way the Plaster-Casters worked was, one of them would mix the goo while the other one gave the guy a blow job.As you can imagine, this sort of thing requires a scientiﬁc sense of timing. The blow-job girl had to take her mouth off the guy's dick at the precise moment the other one slammed the container full of glop onto the end of it, holding it there until it hardened enough to make a good mold. Cynthia wouldn't blow the guys; that was the other girl's assignment. Cynthia mixed the goo. Meanwhile, the 'subject' had to concentrate on maintaining an erection, otherwise he wouldn't make a good impression. When Hendrix was cast, Cynthia told me, he liked the glop so well, he fucked the mold. Jazz: The Music of Unemployment The ﬁrst time we played with Rahsaan Roland Kirk was at the 1968 Boston Globe Jazz Festival.After his performance, when introduced to him backstage, I said I really liked what he was doing, and said that if he felt like joining us onstage during our set, he was more than welcome. In spite of his blindness, I believed we could accommodate whatever he wanted to do.",394
Page 52,"We began our set, wending our atonal way toward a medley of 1950s-style honking saxophone numbers. During this fairly complicated, choreographed routine, Rahsaan, assisted by his helper (can't remember his name), decided to join in. In 1969, George Wein, impresario of the Newport Jazz Festival, decided it would be a tremendous idea to put the Mothers of Invention on a jazz tour of the East Coast. We wound up working in a package with Kirk, Duke Ellington and Gary Burton in Miami at the JaiAlai Fronton, and at another gig in South Carolina. The touring package did not carry its own PA-- we had to use whatever speakers existed in each of the venues we were booked into. The hall in South Carolina was rigged with small jukebox speakers, set in a ring around the building. Useless, but there we were -- we had to play the show. Before we went on, I saw Duke Ellington begging -- pleading -- for a ten-dollar advance. It was really depressing.After that show, I told the guys: ""That's it -- we're breaking the bande up."" We'd been together in one conﬁguration or another for about ﬁve years at that point, and suddenly EVERYTHING looked utterly hopeless to me. If Duke Ellington had to beg some George Wein assistant backstage for ten bucks, what the fuck was I doing with a ten-piece band, trying to play rock and roll -- or something that was almost rock and roll? I was paying everybody in the band a weekly salary of two hundred dollars -- all year round, whether we were working or not, along with all hotel and travel expenses when we did get work. The guys in the band were pissed off -- as if their welfare had been canceled -- but at that point I was ten thousand dollars in the red. CHAPTER 6 Send In the Clowns",378
Page 53,"I spent part of 1969 working in the studio on the Hot Rats album, and did a few local gigs with Ian Underwood and Sugarcane Harris. It was going nowhere. The album, which I happened to like a lot, sneaked onto the Billboard charts somewhere around 99 and vanished immediately. In the United States, at least, I had produced another ﬂop. (The very idea!An all-instrumental album, except for one vocal cut -- and that had to feature Captain Beefheart! He's no singer! Why are you wastingAmerica's precious time with this, you asshole!) As it has turned out, that album, as a catalog item, has outlived just about everything else released in 1970, and, for our beloved friends in the British Isles, stands out as the only 'good' Zappa album ever released -- more about those guys later. Sometime in 1970, I had an offer for a major concert performance of the orchestral music accumulating in my closet. During the M.O.I.'s ﬁrst ﬁve years, I had carried with me, on the road, masses of manuscript paper, and, whenever there was an opportunity, scribbled stuff on it. This material eventually became the score for 200 Motels (based on an estimate of the number of gigs we played in the ﬁrst ﬁve years -- forty jobs per year?). The performance was to be held at UCLA's Pauley Pavilion (a basketball arena seating about fourteen thousand people), with Zubin Mehta conducting the LosAngeles Philharmonic Orchestra.Apretty big deal.",303
Page 54,"There was a 'catch,' though -- the orchestra didn't really want to play the stuff -- they wantedAN EVENT; something 'unique' -- like -- uhh, maybe a ROCK GROUPand -- uhhhhh -- a REALORCHESTRAsort of -- uhhh -- well, you know -- 'rocking out together.' It didn't matter what the music was. This eventually led to a few problems. First of all, I didn't have a 'ROCK GROUP' -- the M.O.I, had been disbanded for about a year. Second, there were no parts copied for the scores, and I was being asked to pay for this enormous job (seven thousand 1970 dollars). The third problem was that I wanted some kind of tape of the show, and the Musicians' Union wouldn't allow it. (They didn't do anything when some asshole in the audience ran a cassette and made a bootleg album out of it, but they were promising stern action if I made one for my own use -- just to ﬁnd out what my pieces sounded like. . . but let me slow down here.) We solved problem number one by putting together an interim one-shot 'Mothers-Of-Invention-Sort-Of- Group.' It did a short tour to warm up, maybe half a dozen dates, and returned to L.A. for the show. The second problem was solved by me spending the seven thousand bucks on a team of copyists. The third problem never got solved, and I never got a tape of the show. It was the most successful indoor concert of the L.A. Phil's season that year -- sold out. Somewhere in that mass of spectators were Mark Volman and Howard Kaylan, a.k.a. Flo & Eddie. They came backstage after the show, said they liked it, and told me that the Turtles had split up and they were looking for something to do. The rest is history. We worked together for about two years after that on several albums and tours as well as the ﬁlm 200 Motels. (For those of you wishing for a whiff of that particular nostalgia, I recommend the acquisition of the ﬁlm itself, along with the documentary I prepared called The True Story of ""200 Motels,"" available in most outlets through Honker Home Video. That story is best told in pictures.) Oh, MyAching Back People who have never been in a rock band maintain the most ridiculous fantasies about how glamorous and exciting and endlessly gratifying Life On The Road must be. It's not that I haven't had a few laughs out there -- but let's just say the ratio isn't that terriﬁc. Some moments are unique, though. It was the middle of winter in Stockholm, 1971. We had just ﬁnished two shows at the Konserthuset. I was walking out of the hall when two kids came up to me and said that they had",571
Page 55,"been to both shows that night, that they had a great idea, and wondered if I'd go along with it. ""We have a younger brother named Hannes,"" they said, ""who came to the ﬁrst show with us, and then went home. He has school tomorrow."" The family lived in an area called Tulinge, which is about twenty minutes outside the city. They wanted me to go with them to their house in the middle of the night, sneak into Hannes's room, wake him up and say, ""Hannes! Hannes! Wake up! It's me, Frank Zappa."" I said, ""Okay, I'll do it."" I was taken into a typical kid's room ﬁlled with the little models he had built. Hannes was asleep in his little bed. It was freezing cold. I woke him up.As expected, he was very surprised. The mother and father got up, wearing long nightgowns. They were very nice people. We sat in the kitchen until 5:30A.M. talking politics. Except for that incident, the 1971 European winter tour gets the award for being the most disastrous. On December 4, we were working at the Casino de Montreux in Geneva, Switzerland, right on the edge of the lake - - just in front of Igor Stravinsky Street -- a venue noted for its jazz festivals. In the middle of Don Preston's synthesizer solo on ""King Kong,"" the place suddenly caught ﬁre. Somebody in the audience had a bottle rocket or a Roman candle and ﬁred it into the ceiling, at which point the rattan covering started to burn (other versions of the story claim the blaze was the result of faulty wiring). There were between twenty-ﬁve hundred and three thousand kids packed into the room -- well over capacity. Since more kids were outside, trying to get in, the organizers had cleverly chained the exit doors shut. When the ﬁre began, the audience was left with two ways out: through the front door, which was pretty small, or through a plate-glass window off to the side of the stage. I made an announcement -- something like: ""Please be calm. We have to leave here. There is a ﬁre and why don't we get out?"" You'd be surprised how well people who speak only French can understand you when it's a matter of life and death. They began ﬁling out through the front door. As the room was ﬁlling with smoke, one of our roadies took an equipment case and smashed the big window. The crew then began helping people to escape through it into some kind of garden place below. The band escaped through an underground tunnel that led from behind the stage through the parking garage. Afew minutes later the heating system in the building exploded, and some people were blown through the window. Fortunately, nobody was killed and there were only a few minor injuries -- however, the entire building, about thirteen million dollars' worth, burned to the ground, and we lost all our equipment. We were in the middle of a sold-out tour with ten more dates to go. Back at the hotel, most of the band voted for ﬁnishing the tour -- or at least trying. The problem was that, even though we didn't have the greatest equipment in the world, we had been using a few special instruments, including a customized Fender Rhodes piano, and other specialized synthesizer gear we couldn't buy off a shelf in Switzerland. My guitar was gone.All of the stage lights were gone. The PAwas gone. We canceled a week's worth of jobs, during which we scrounged for new equipment. The plan was to get to England two days in advance of The Big Gig at the Rainbow, and rehearse with the new gear. We had two nights of double shows coming up and we had to make sure everybody was comfortable with the new stuff. We had some problems -- mikes were feeding back and all kinds of weird shit was happening, but still we managed to make it through the ﬁrst show.At the end of the ﬁrst show, we went offstage and came back to do an encore. I think we played ""I Want to Hold Your Hand.""All I remember after that is waking up in the orchestra pit in pain. I didn't know what had happened to me. In the weeks following the attack, I was able to piece it together, but at the time I had no idea. The band thought I was dead. I had fallen ﬁfteen feet down into a concrete-ﬂoored orchestra pit, my head was over on my shoulder, and my neck was bent like it was broken. I had a gash in my chin, a hole in the back of my head, a broken rib and a fractured leg. One arm was paralyzed. In those days, I didn't carry a bodyguard; 'security' was supplied by the local promoters. In the case of this concert, the security consisted of two big West Indian guys, at either side of the stage. During the encore, they were off smoking reefer someplace. In their absence, a guy by the name of Trevor Howell had run up onto the stage, punched me and knocked me over into the pit. He gave two stories to the press. One of them was that I had been ""making eyes at his girlfriend."" That wasn't true, since the orchestra pit was not only ﬁfteen feet deep but twice as wide, and the spotlight was in my face. I can't even see the audience in those situations -- it's like looking into a black hole. I never even saw the guy coming at me.",1126
Page 56,"He told another newspaper that he was pissed off because he felt we hadn't given him ""value for his money."" Choose your favorite story. After he punched me, he tried to escape into the audience, but a couple of guys in the road crew caught him and took him backstage to hold him for the police. He wound up spending a year in jail for inﬂicting ""grievous bodily harm"" on me. The British press found it amusing. I was taken to a public hospital. I remember being in the emergency room which, like the rest of London at that time of year, was freezing cold. They were clearly understaffed -- a guy two beds down from me had his balls smashed in a brawl someplace, and was howling, unattended. They couldn't give me any anesthetic because I had a head injury, so after a while I just passed out, and woke up later in a bad-smelling room with beds all around, in a circle, with curtains hung between them. I remember the curtains parting in front of me and a black nurse coming in and seeing my face; like she had just seen a monster. I was pretty mashed up. I was later transferred to the Harley Street Clinic where I stayed for the next month. I had a twenty-four- hour bodyguard because the asshole who had hit me was out on bail, and we didn't know how insane he was. When my head had gone over onto my shoulder, it had crushed my larynx, so I couldn't talk.As a result of that, the pitch of my voice dropped a third and has stayed that way ever since (having a low voice is nice, but I would have preferred some other means of acquiring it). After a month, I learned how to walk on crutches. I was in a cast all the way up to my hip, but my leg refused to heal. They wanted to break my leg again and reset it. I said, ""No, thanks -- just leave the fucking cast on."" I stayed in the cast and in a wheelchair for the better part of a year. Eventually the cast came off and I was ﬁtted with a prosthetic device -- one of those things with metal joints and straps and a special shoe. Eventually my leg healed -- but it came out a little crooked. One leg is slightly shorter than the other, the cause of many years of chronic back pain. During my season in the wheelchair, I refused to do any interviews or have photos taken. I still wanted to make music, and managed somehow to produce three albums (Just Another Band from L.A., Waka/Jawaka, and The Grand Wazoo). I also wrote a science-ﬁction musical called Hunchentoot, and a twisted sort of musical fairy tale called The Adventures of Greggery Peccary. Once I had regained mobility, I decided to go back on the road -- with a new band. The band with Mark and Howard didn't exist anymore -- they all had to go out and get other jobs during the year I couldn't work. The ﬁrst post-wheelchair appearance was as a reciter, in a performance of Stravinsky's L'Histoire du soldat at the Hollywood Bowl, conducted by Lukas Foss. Prior to that, I had recorded with a twenty-piece band on the Grand Wazoo album, and I decided I wanted to tour with it -- just six or eight dates, not really a money-making proposition. So we did a short tour -- the Hollywood Bowl, the Deutschlandhalle in Berlin, the Music Hall in Boston, a couple of shows at the Felt Forum in New York City, someplace I can't remember in Holland, and the Oval Cricket Ground in London. At the press conference arranged by the promoter of the London date, I discovered the depths to which the British will sink in order to sell a concert ticket. During an interview, a young girl entered the room, handed me a bouquet of ﬂowers and walked away. This resulted in quiet questioning by the other reporters who were waiting in the back of the room to talk with me. She told them she was the girlfriend of the guy who had knocked me off the stage, and that she had brought the ﬂowers as a gesture of remorse. I found out later that the promoter had hired her as a publicity stunt.",860
Page 57,"CHAPTER 7 Drool, Britannia",9
Page 58,"As a result of all that, the British have earned a special place in my heart. In 1975, they came through for me once again when I was forced to sue the Crown for breach of contract. My claim arose as a result of a canceled performance by the Royal Philharmonic Orchestra and the Mothers of Invention, scheduled to coincide with the conclusion of principal photography on the 200 Motels ﬁlm. The Royal Family's attorneys opted to defend their breach by attempting to convert what would have been an arbitratable civil matter into a bogus obscenity trial, in the Old Bailey. The matter was complicated by a catch-22 sort of musicians' union rule governing rehearsal for a recording session. According to the rule book, there is no scale payment rate for rehearsing for a recording session. This means that a person hiring an orchestra, for example, either is prohibited from rehearsal altogether or has to pay full recording scale while the orchestra makes all the mistakes you'd never want to release on a record. The union does, however, permit (and posts a scale rate for) rehearsal for a live concert. To navigate this mysterious policy, making it possible for the Royal Philharmonic to rehearse the music for 200 Motels before recording it, we booked a concert at the RoyalAlbert Hall, listing the initial rehearsals as rehearsals for the concert -- all completely legal. If, however, the concert were not to occur, the production company (my company) would then have been liable for a massive payment to the union for ""extra recording sessions."" Aspinster (her descriptive title in the court documents) named Marion Herrod took it upon herself to cancel this sold-out concert at the last minute, after hearing from a trumpet-player friend in the orchestra that the song lyrics were ""obscene."" (One of the objectionable words was brassiere.)",362
Page 59,"Her action, on behalf of the Crown (her employer), caused substantial and demonstrable ﬁnancial damages from the concert (as the ticket money had to be refunded, along with the concert preparation costs) and from the potential balloon payment to the musicians' union. Okay, let me set the scene for you here -- the Old Bailey is just like you've seen it in all those British courtroom dramas: dark wood paneling; musty smell; robes; wigs (they're made of horsehair); pompous assholes scorning each other -- you get the picture. Here's some stuff you don't know: everybody involved in the proceedings (the judge and both sets of counsels) has to write everything down -- in longhand -- on foolscap (the long legal paper). There's no 'court stenographer' throttling a plastic machine in the corner, and so everyone is instructed to speak slowly -- so, as you read this transcript, remember, everybody is talking in slow motion. Now, the judge: this guy was maybe eighty years old. He looked like a cartoon of a judge -- perfect, except he didn't have an ear trumpet. During the proceedings, one of the lawyers attempted to introduce the 200 Motels record album into evidence. Upon seeing it, Justice Mocatta asked, ""What is that?"" The reply: ""It is a phonograph record, your lordship."" (MR. CAMPBELL appeared as counsel for defense [ALBERT HALL], MR. OGDEN appeared on behalf of the plaintiff [ZAPPA], before MR. JUSTICE MOCATTA.) ""A:"" indicates the answers of the plaintiff, Frank Zappa. The interrogation took place in the HIGH COURT OF JUSTICE, QUEEN'S BENCH DIVISION, on 15th and 16th April, 1975. A series of excerpts follows. MR. CAMPBELL: Had you played the Albert Hall before? THE WITNESS: Twice. MR. JUSTICE MOCATTA: You mean the group had? A: The group had played at the Albert Hall twice. MR. CAMPBELL: Can you remember what sort of things you played, the titles? Can you explain it? A: The first time we played in the Albert Hall was in September of 1967. During that concert some of the song titles were ""Call Any Vegetable."" The subject matter of that song deals with the concept of apathy between a member of the audience and any form of inert material. Another selection performed in that first concert was a song entitled, ""You Didn't Try to Call Me."" Q: Has the thing about ""vegetable"" anything to do with sex? A: No. Q: Has the second one you mentioned anything to do with sex? A: Well, it is a boy-girl situation song but it involves no 'reproductive references.' It deals mainly with the subject of heartbreak, resulting from lack of telephonic communication. . . They then proceed to discuss several songs that were to have been performed at the concert. MR. CAMPBELL: What was the concept of the song ""Would You Go All the Way?"" A: This song makes reference to the kind of people that you might find in the armed services, and the way in which they attempt to treat girls which they procure for their amusement. It makes reference to the monster from the U.S.O. Q: That is not an unidentified flying object? A: No. Q: What is a ""U.S.O.?"" A: It is an abbreviation for United States Overseas.",688
Page 60,"Q: Then, ""She Painted Up Her Face,"" to which objection has been taken. What do you say about that? A: Well, I think that this is an important piece of material, lyrically. Q: What is the concept about it? A: To my knowledge, it is the only song in the repertoire that deals with the subject of a girl who is a groupie. Q: What is a ""groupie?"" A: A ""groupie"" is a girl who likes people in a rock-and-roll band. She likes them very much. MR. JUSTICE MOCATTA: She likes what very much? A: She likes ""the members"" of the band very much. MR. CAMPBELL: A sort of fan, like a football fan? A: Only of ""the members."" Q: Like film stars have fan mails? A: Yes. MR. JUSTICE MOCATTA: I did not gather that. I thought you said that this dealt with a girl who in fact was a member of a rock-and-roll band. MR. CAMPBELL: No, my Lord. THE WITNESS: I am sorry: girls who ""follow members."" MR. JUSTICE MOCATTA: I.e., a follower? A: Yes. MR. CAMPBELL: A sort of fan? A: Yes. Shall I continue with an analysis of this song? Q: Please do so. A: It is the only piece of material that deals with a look at the motivations of the girl. Many groups have done songs about groupies, but coverage of that subject has been superficial and the lyrics to this song represent some kind of landmark in the way in which the subject has been dealt with. Q: Is it intended as a serious song? A: Well, I would say it is as serious as anything else I do. Q: Now we come to ""Bunna Dik"" [sic]. What is the concept of ""Bunna Dik""? A: I would like to point out at this time that those lyrics contained in this version of ""Bwana Dik"" are of a very early draft. The song ""Bwana Dik"" did not occur in 200 Motels. It was not included in the film. It is not part of the album. MR. CAMPBELL: It was, I think, on another record? A: Yes, but not in this form. The title ""Bwana Dik"" is in an album called Live at Fillmore East but it has nothing to do with the text that you are asking me to analyze here. It was a totally different set of lyrics. MR. JUSTICE MOCATTA: ""Bunna"" is apparently a West African term, or an African term, for ""boss,"" is it? Is that right? A: It is the kind of word that you have in a jungle movie. I do not know what it means in reality. It is a jungle-movie word. Q: What does it mean in a jungle movie?",595
Page 61,"A: You never know what it means in a jungle movie, you know, unless somebody can explain to me that that word exists in some special African language. My understanding of ""Bwana"" has always been that it's something that the guy with the box on his shoulder says. MR. CAMPBELL: What do you mean by ""the guy with the box on his shoulder?"" A: Well, natives walk behind the guy with the helmet, and they have the box on their shoulder. MR. CAMPBELL: My Lord, he means the bearers in the jungle. MR. JUSTICE MOCATTA: A sort of porter, or bearer, in a jungle? MR. CAMPBELL: Yes. THE WITNESS: Yes. MR. OGDEN: I am not interested in what my learned friend thinks it is; I am interested in what the witness thinks it is. MR. JUSTICE MOCATTA: What does ""Bunna Dik"" mean? A: ""Bwana"" with the ""Dik"" after it would mean a person who, at some time, could wear one of those helmets, and could have people treating him in some sort of respected way, and who was also in possession of a ""Dik."" Q: And what is a ""Dik?"" A: Well, in this context, it would be a rock-and-roll person's penis. MR. CAMPBELL: And what is the concept of ""Bunna Dik?"" A: O.K. I will explain the concept of ""Bwana Dik"" to you. In every band there is some member of the band who, during the course of touring, gets the opportunity to entertain more girls than the other members of the band. It is like winning a contest. If we carry this concept to a ridiculous extreme, this person could be awarded the title of ""Bwana Dik."" The song deals with the fact that each in his own way, each member of the group, secretly believes that he is ""Bwana Dik."" Q: Oh, I see. A: And the song attempts to show how foolish this concept is. Q: Quite, satirically? A: That is right, it is a satire. . . [Cross examination] MR. OGDEN: Let us turn to ""Lonesome Cowboy Burt,"" and if you would look at page 48, please, this song is of Cowboy Burt saying he wants sexual intercourse with a waitress, is it not?",482
Page 62,"A: No, this song is not specifically about Cowboy Burt seeking sexual intercourse with a waitress. My name is Burtram I am a redneck All my friends, They call me 'Burt' All my family, From down in Texas Make their livin' Diggin' dirt Come out here to Californy, Just to find me Some pretty girls The ones I seen Gets me so horny; Ruby lips, 'N teeth like pearls! Wanna love 'em all! Wanna love 'em dearly! Wanna pretty girl -- I'll even pay! I'll buy 'em furs! I'll buy 'em jewelry! I know they like me; Here's what I say: ""I'm lonesome Cowboy Burt! Don'tcha get my feelin's hurt! Come on in this place, 'N I'll buy you a taste, 'N you can sit on my face -- Where's my waitress?"" I'm an awful nice guy! I sweat all day in the sun! I'm a roofer by trade, Quite a bundle I've made, I'm a unionized roofin' old Son-of-a-gun! When I get off, I get plastered I drink till I fall onna floor, Then I find me some Communist bastard, 'N stomp on his face till he don't Move no more! I fuss, an' I cuss, an' I keep on drinkin', Till my eyes puff up an' turn red! I drool on m'shirt, I see if he's hurt, Then I kick him again in the head, yes! Kick him again in the head, now! Kick him again in the head, boys! KICK HIM AGAIN IN THE HEAD! I'M LONESOME COWBOY BURT, Don'tcha get my feelin's hurt Come on in this place, An' I'll buy you a taste, 'N you can sit on my face -- Where's my waitress? OPAL, YOU HOT LITTLE BITCH!",396
Page 63,"  ""Lonesome Cowboy Burt"" from the album 200 Motels, 1972 Q: And by your use of the word ""specifically"" you lead one to understand that in part it is about that? MR. JUSTICE MOCATTA: Well, the implication is that it is about that? A: When you say, ""It is about that,"" that is not what the function of the song is. I am trying to understand your terminology. You see, if you can give me some guidelines as to how to understand what is going on here, I can function better. MR. OGDEN: Mr. Zappa, if I may say so, I do not think you are a stupid man by any means. I think you understand what I am trying to get at. At least in part this song implies that Burt wants sexual intercourse with a waitress, does it not? A: At least in part this song does imply that a character named Lonesome Cowboy Burt seeks to have some sort of sexual relationship with a waitress. Q: Thank you. And on page 22, the unamended version, I would be grateful if you would tell us what this phrase means: ""and I will buy you a taste, and you can sit on my face""? A: ""I will buy you a taste"" is a reference to purchasing an alcoholic beverage on behalf of the waitress, and sitting on his face is a reference to the girl sitting on his face. Q: That being a sensual reference? A: Not necessarily. It could indicate a piggyback ride in an unusual position. Q: Are you being serious? A: Certainly. Q: ""I will buy you an alcoholic drink and you can have a pick-a-back ride sitting on my face?"" A: That is not what it says. Q: I understood you to be indicating that that was what it meant. Have I got you wrong? A: No, it is open to that interpretation as well as any other. Q: You wrote it. You must have had something in mind. MR. JUSTICE MOCATTA: What does it mean, ""You can sit on my face""? A: Somebody can sit on your face. Q: A very unpleasant occupation for the person whose face is being sat upon, is it not? A: Well, this is an unusual character, this Cowboy Burt. MR. OGDEN: Mr. Zappa, you are the author of this? A: Yes.",492
Page 64,"Q: What did you mean when you wrote it? A: Well, I pictured a situation where there was a cowboy, whose name is Burt, and his family history has been given in the first part of the song. He is making himself obnoxious in a bar, and that particular line is a line that was extracted from some actual graffiti which I saw in a bar, which was characteristic of the lifestyle and area in which Burt functions, and it is something that is meant to help portray the character in his normal speaking style, in the same way as if the song was about a pirate, I would have him saying ""Avast ye lubbers"" or something like that, and it is the type of thing that this character would say to a waitress. MR. JUSTICE MOCATTA: But do you say it does have some sexual connotation? A: It could, by some stretch of the imagination, certainly -- the picture of the lower region of the person who was doing the sitting coming in contact with the upper region of the person who was supporting the sitter. MR. OGDEN: Well, that is all very fine, but let us put it into cruder terms: You mean the naked buttocks of the girl sitting on the man's face? A: There is no reference in here to naked buttocks. Q: No, but is that what you meant? A: No. Q: And you are unable to tell us what in fact that phrase was meant by you to mean? A: In fact I have just explained it to you. MR. JUSTICE MOCATTA: You heard it used by somebody? A: I saw this graffiti. It was written in graphite on the wall of a toilet in a bar that people like Cowboy Burt go to. MR. OGDEN: I think I can leave that point. MR. JUSTICE MOCATTA: What does ""Come smell my fringy shirt"" mean? Is there any particular meaning in that? A: Certainly. Q: What does it mean? A: Have you ever seen a cowboy's shirt? Q: I am not sure that I have, but tell me what it means. A: You have to understand what a cowboy's shirt looks like. There are different styles and some of them have fringe across the chest and along the arms, fringe that hangs down. It is a decoration. Q: I know what you mean. A: And this song is trying to establish Burt's character. This is a person who dresses like a cowboy, behaves like a cowboy, and smells like a cowboy. He is a hundred percent cowboy, all the way through. Remember Freddie and Jo? The night you went to a show? (A monster movie); Clutchin' at yer hand (Wait ten seconds) Clutchin' at yer arm (Wait ten seconds) Clutchin' at yer elbow -- Where did your brassiere go? Then the monster came out, 'N everybody shout!",586
Page 65,"People all around you, Screamin' at the monster; The Monster From The U.S.O. Who's this dude with his hair straight back? His new white socks, 'n his pants all black; His T-shirts rolled -- His watch is gold -- A '55 Chevy that his brother just stoled, An' his arm's around yer waist -- An' his hand is in yer pants -- An' he asks you for a date To the servicemen's dance! Suppose you don't wanna? What can you do? When a joker like that Got his hands on you -- Oh, baby! T-T-T-Tell me baby, Would you go all the way For the U.S.A.? Would you go all the way For the U.S.O.? Would you go all the way For the U.S.A.? Lift up your dress, if the answer is ""no"". . .   ""Would You Go All the Way?"" from the album Chunga's Revenge, 1970 MR. OGDEN: My Lord, I was leaving that, now, and turning to ""Would You Go All the Way?"" (To the witness): Going all the way means having sexual intercourse, does it not? A: It is an expression that was used in the 1950s to indicate having sexual intercourse. It is an archaic expression which is used to generate laughter. Q: Well, whatever it is used to generate, that is its meaning? A: In the 1950s, yes. Q: And as I understood what you were saying yesterday this was a reference to the American armed forces overseas and the way they treated girls they procured for their amusement? A: Yes. Q: And, of course, it is quite plain, if one looks at the unamended version, which is on page 30, that this is a song about sex? A: I would say that this song is not specifically about sex. Q: Well, we have agreed that the title ""Would You Go All the Way?"" means ""Would you have sexual intercourse?"" Now let us go on and see how it looks, if one looks at page 30. First of all they go to a movie, then ""clutching at your hand"" . . . ""wait ten seconds"" . . . ""clutching at your elbow"" -- then ""Where did your brassiere go?"" -- which means the man has got his hand on the girl's breast, does it not? A: No. Q: Does it not? A: It means that the brassiere has disappeared mysteriously in the dark of the theater. Q: I see, and the bit that is crossed out -- ""Preston, who reaches for Ruth's breast, and her breast falls out,"" then ""The monster came out."" What would ""The monster came out"" with that mean? A: The monster is the character that they are watching on the screen at that time.",588
Page 66,"Q: I see. Was that symbolic of something? A: Well, in the 1950s monsters played a very important part in the culture of our country, and a lot of my humor revolves around that sort of thing. Q: I see. In any event, if one reads that, it is quite obviously a seduction scene, is it not, in a cinema? A: No. To me it would indicate to me that this scene was describing ineptitude. Q: Ineptitude? A: Yes. Q: In what sense? A: Fumbling with each other in the dark. Q: Yes, but in a sensual context? A: Not necessarily. Q: Well, come, Mr. Zappa, just look at it. There is a song entitled ""Would you have sexual intercourse"" -- in effect -- then describing how the man clutches the woman's hands, then her arm, then her elbow, then he finds her brassiere has gone and her breast falls out. This is what the whole song is, is it not? A: No, it is not. It has another page. MR. JUSTICE MOCATTA: You say ""the monster"" is the breast, do you, or not? MR. OGDEN: My Lord, I do not know, but your Lordship will have seen that earlier, further up the page, it says, ""Preston, a monster."" MR. JUSTICE MOCATTA: I am sorry, I had not seen that. She painted up her face She sat before her mirror She painted up her face She drew the mirror nearer Practisissing, Practiss, Practicing! The STARE! The STARE! (The 'secret stare' she would use If a worthy-looking victim should appear) The clock upon the wall Has struck the midnight hour! She finishes her call; Her girlfriend's in the shower Practisissing, Practiss, Practicing!",375
Page 67,"Half a dozen provocative squats! Out of the shower, she squeezes her spots; Brushes her teeth; Shoots a deodorant spray up her twat. . . (It's getting her, getting her Hot -- Oh-woh-woh-woh-woh-woh) She's just twenty-four And she can't get off, A sad but typical case Last dude to do her Got in and got soft; She blew it, And laughed in his face, yeah! She chooses all the clothes She'll wear tonight to dance in! The places that she goes Are filled with guys from groups, Waiting for a chance to break her pants in PROVOCATIVE SQUATS! (gum-me-on-m'lung-a) PROVOCATIVE SQUATS! (gum-me-on-m'lung-a) PROVOCATIVE SQUATS! (gum-me-on-m'lung-a) PROVOCATIVE SQUATS! (gum-me-on-m'lung-a) Well, at least there's sort of a choice there; Twenty or thirty at times there have been -- Somewhat desirable boys there -- Dressed really spifiy, with long hair -- Waiting for girls they could shove it right in THAT'S IT! SHOVE IT RIGHT IN! (eeeeeeuuuuuuueeeep) AND PULL IT RIGHT OUT! (eeeeuuuuuuuuuup) AND SHOVE IT IN AGAIN! (unnngh!)   ""Shove It Right In"" from the album 200 Motels, 1972 MR. OGDEN: Now, my Lord, I turn to ""She painted up her face,"" at page 51. (To the witness): So far as the first page is concerned I need not ask you anything, but turn over to page 52, please. This is the groupies' room, it says, does it not? A: Yes. Q: Halfway down, one sees ""Half a dozen provocative squats."" What does that mean? A: This is a reference to a girl preparing various ways in which she will make herself attractive to the rock and roll musicians that she is going to see at the bar. She is practicing postures which will draw attention to her at the bar. Q: And what is a ""provocative squat?"" A: That would be a squat that is a semikneeling position that could be executed during a dance, or, if she was going to the bar, to dance on the dance floor. It is indicating that the girl intends to go to the place where the boys are and dance in such a way that she will attract their attention. Q: The theme of this song is this, is it not, that this girl has not been able to have completed sexual intercourse?",531
